start,goal,dfs_path,bfs_path,dfs_length,bfs_length,dfs_visited,bfs_visited
Тарасова Шевченка,Либідська,"['Тарасова Шевченка', 'Контрактова площа', 'Поштова площа', 'Майдан Незалежності', 'Площа Льва Толстого', 'Олімпійська', 'Палац ""Україна""', 'Либідська']","['Тарасова Шевченка', 'Контрактова площа', 'Поштова площа', 'Майдан Незалежності', 'Площа Льва Толстого', 'Олімпійська', 'Палац ""Україна""', 'Либідська']",7,7,8,13
Шулявська,Контрактова площа,"['Шулявська', 'Палац культури', 'Золоті ворота', 'Театральна', 'Палац Спорту', 'Площа Льва Толстого', 'Майдан Незалежності', 'Поштова площа', 'Контрактова площа']","['Шулявська', 'Палац культури', 'Золоті ворота', 'Театральна', 'Хрещатик', 'Майдан Незалежності', 'Поштова площа', 'Контрактова площа']",8,7,9,13
Хрещатик,"Палац ""Україна""","['Хрещатик', 'Майдан Незалежності', 'Площа Льва Толстого', 'Олімпійська', 'Палац ""Україна""']","['Хрещатик', 'Майдан Незалежності', 'Площа Льва Толстого', 'Олімпійська', 'Палац ""Україна""']",4,4,5,13
Золоті ворота,Поштова площа,"['Золоті ворота', 'Театральна', 'Палац Спорту', 'Площа Льва Толстого', 'Майдан Незалежності', 'Поштова площа']","['Золоті ворота', 'Театральна', 'Хрещатик', 'Майдан Незалежності', 'Поштова площа']",5,4,8,11
